"DocEntry","TaxId0","TaxId1","TaxId2","TaxId3","TaxId4","TaxId5","TaxId6","TaxId7","TaxId8","TaxId9","State","County","Incoterms","Vehicle","VidState","NfRef","Carrier","QoP","PackDesc","Brand","NoSU","NetWeight","GrsWeight","LogInstanc","ObjectType","TaxId10","TransCat","FormNo","TaxId11","StreetS","BlockS","BuildingS","CityS","ZipCodeS","CountyS","StateS","CountryS","AddrTypeS","StreetNoS","StreetB","BlockB","BuildingB","CityB","ZipCodeB","CountyB","StateB","CountryB","AddrTypeB","StreetNoB","ImpORExp","Vat","AltCrdNamB","AltTaxIdB","Address2S","Address3S","Address2B","Address3B","MainUsage","GlbLocNumS","GlbLocNumB","CollectDT","TransprtDT","TransprtRS","TaxId12","TaxId13","ImpExpNo","ImpExpDate","BpGSTType","BpGSTN","BpStateCod","BPStatGSTN","LocGSTType","LocGSTN","LocStatCod","LocStaGSTN","BpCountry","OrigImpNo","OrigImpDat","ExportType","PortCode"
1,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"18",,,,,,"Unit 2-A","STPI-Rajiv Gandhi Infotech Park","Pune","411057",,"MH","IN","Official","Hinjewadi Phase-1","Rajiv gandhi IT park Phase I","Hinjewadi Pune","",,"411057",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"V00019",,,,1,"27AAATS2468J1Z6","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
3,,,,,,,,,,,"AP",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,"C00006",,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
4,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Pune Depot, Gate No-1340/1,","Taluka Havelli","","Wagholi-412207","412207",,"MH","IN","S",,"Pune Depot, Gate No-1340/1,","Taluka Havelli","","Wagholi-412207","412207",,"MH","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"27AAJCA0072C1Z5","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
5,,,,,,,,,,,"GJ",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"HALOL-I DF PLANT PLOT.NO.329, 341","& 3 HALOL VADODARA HIGHWAY","","HALOL, PANCHMAHALS-389350","389350",,"GJ","IN","S",,"HALOL-I DF PLANT PLOT.NO.329, 341","& 3 HALOL VADODARA HIGHWAY","","HALOL, PANCHMAHALS-389350","389350",,"GJ","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"24AADCS3124K1ZJ","GJ","24",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
6,,,,,,,,,,,"PB",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"NH-3,Bypass Opp. Metro Cash & Carry","G.P.O","","Amritsar 143001","143001",,"PB","IN","S",,"NH-3,Bypass Opp. Metro Cash & Carry","G.P.O Amritsar","","Amritsar","143001",,"PB","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"03AAACK1375K1ZP","PB","3",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
87,"AAACD7999Q","","","","","","","","","","AP",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
11,,,,,,,,,,,"MP",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Coal Mines Moher & Moher Amlohri Extension OCP,","Post: Podi Naugai,Tehsil-Waidhan","","Dist- Singrauli -486886","486886",,"MP","IN","S",,"Coal Mines Moher & Moher Amlohri Extension OCP,","Post: Podi Naugai,Tehsil-Waidhan","","Dist- Singrauli -486886","486886",,"MP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"23AAKCS0723M1ZB","MP","23",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
12,,,,,,,,,,,"MP",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Coal Mines Moher & Moher Amlohri Extension OCP,","Post: Podi Naugai,Tehsil-Waidhan","","Dist- Singrauli -486886","486886",,"MP","IN","S",,"Coal Mines Moher & Moher Amlohri Extension OCP,","Post: Podi Naugai,Tehsil-Waidhan","","Dist- Singrauli -486886","486886",,"MP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"23AAKCS0723M1ZB","MP","23",,,,,"IN",,,"E",
13,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"22",,,,,,"Unit 2-A","STPI-Rajiv Gandhi Infotech Park","Pune","411057",,"MH","IN","Official","Hinjewadi Phase-1","Samapada Complex","Near Dakshin mukhi maruti mandir pune","",,"411042",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"V00003",,,,1,"CompositionLevy","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
86,"AAACD7999Q","","","","","","","","","","AP",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
