"DocEntry","ExpnsCode","LineTotal","TotalFrgn","TotalSumSy","PaidToDate","PaidFC","PaidSys","Comments","ObjType","LogInstanc","DistrbMthd","TaxStatus","VatGroup","VatPrcnt","VatSum","VatSumFrgn","VatSumSy","DedVatSum","DedVatSumF","DedVatSumS","IsAcquistn","TaxCode","TaxType","WTLiable","VatApplied","VatAppldFC","VatAppldSC","EquVatPer","EquVatSum","EquVatSumF","EquVatSumS","LineVat","LineVatF","LineVatS","BaseMethod","Stock","LstPchPrce","AnalysRpt","BaseAbsEnt","BaseType","BaseRef","BaseLnNum","LineNum","Status","TrgType","TrgAbsEnt","StDstr","StDstrSC","StDstrFC","FixCurr","VatDscntPr","OcrCode","TaxDistMtd","OcrCode2","OcrCode3","OcrCode4","OcrCode5","Project","VatGrpSrc","DrawnTotal","DrawnFC","DrawnSC","GrsAmount","GrsFC","GrsSC","BaseTotal","RetReqLC","RetReqFC","RetReqSC","RRVatLC","RRVatFC","RRVatSC"
87,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
11,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
12,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
13,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"22",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N","N","N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
51,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
86,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
103,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
40,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"18",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N","N","N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
95,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,0,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
98,1,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"17",0,"T","Y",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","","Y","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","T","N",,"N",-1,-1,,-1,1,"O",,-1,"0.000000","0.000000","0.000000","INR","0.000000","","N","","","","",,"N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
