"DocEntry","LineNum","GroupNum","ExpnsCode","RelateType","StcCode","StaCode","staType","TaxRate","TaxAcct","TaxSum","TaxSumFrgn","TaxSumSys","BaseSum","BaseSumFrg","BaseSumSys","ObjectType","LogInstanc","TaxStatus","VatApplied","VatAppldFC","VatAppldSC","LineSeq","DeferrAcct","BaseType","BaseAbs","BaseSeq","DeductTax","DdctTaxFrg","DdctTaxSys","BaseAppld","BaseApldFC","BaseApldSC","NonDdctPrc","NonDdctAct","TaxInPrice","Exempt","TaxExpAct","OnHoldTax","OnHoldTaxF","OnHoldTaxS","InGrossRev","TaxSumOrg","TaxSumOrgF","TaxSumOrgS","OpenTax","OpenTaxFC","OpenTaxSC","Unencumbrd","TaxOnRI","RvsChrgPrc","RvsChrgTax","RvsChrgSC","RvsChrgFC"
1,1,-1,-1,1,"AGST@18","MHCG@9",-100,"9.000000",,"4273.630000","0.000000","4273.630000","47484.800000","0.000000","47484.800000","18",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"4273.630000","0.000000","4273.630000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
1,1,-1,-1,1,"AGST@18","MHSG@9",-110,"9.000000",,"4273.630000","0.000000","4273.630000","47484.800000","0.000000","47484.800000","18",0,"Y","0.000000","0.000000","0.000000",1,,-1,-1,,"4273.630000","0.000000","4273.630000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
3,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"75600.000000","0.000000","75600.000000","420000.000000","0.000000","420000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"75600.000000","0.000000","75600.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
3,1,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"75600.000000","0.000000","75600.000000","420000.000000","0.000000","420000.000000","17",0,"Y","0.000000","0.000000","0.000000",1,,-1,-1,,"75600.000000","0.000000","75600.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
3,2,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"37800.000000","0.000000","37800.000000","210000.000000","0.000000","210000.000000","17",0,"Y","0.000000","0.000000","0.000000",2,,-1,-1,,"37800.000000","0.000000","37800.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,0,-1,-1,1,"AGST@18","MHCG@9",-100,"9.000000",,"1327.500000","0.000000","1327.500000","14750.000000","0.000000","14750.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"1327.500000","0.000000","1327.500000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,0,-1,-1,1,"AGST@18","MHSG@9",-110,"9.000000",,"1327.500000","0.000000","1327.500000","14750.000000","0.000000","14750.000000","17",0,"Y","0.000000","0.000000","0.000000",1,,-1,-1,,"1327.500000","0.000000","1327.500000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,1,-1,-1,1,"AGST@18","MHCG@9",-100,"9.000000",,"10274.400000","0.000000","10274.400000","114160.000000","0.000000","114160.000000","17",0,"Y","0.000000","0.000000","0.000000",2,,-1,-1,,"10274.400000","0.000000","10274.400000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,1,-1,-1,1,"AGST@18","MHSG@9",-110,"9.000000",,"10274.400000","0.000000","10274.400000","114160.000000","0.000000","114160.000000","17",0,"Y","0.000000","0.000000","0.000000",3,,-1,-1,,"10274.400000","0.000000","10274.400000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,2,-1,-1,1,"AGST@18","MHCG@9",-100,"9.000000",,"2250.000000","0.000000","2250.000000","25000.000000","0.000000","25000.000000","17",0,"Y","0.000000","0.000000","0.000000",4,,-1,-1,,"2250.000000","0.000000","2250.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,2,-1,-1,1,"AGST@18","MHSG@9",-110,"9.000000",,"2250.000000","0.000000","2250.000000","25000.000000","0.000000","25000.000000","17",0,"Y","0.000000","0.000000","0.000000",5,,-1,-1,,"2250.000000","0.000000","2250.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,3,-1,-1,1,"AGST@18","MHCG@9",-100,"9.000000",,"22500.000000","0.000000","22500.000000","250000.000000","0.000000","250000.000000","17",0,"Y","0.000000","0.000000","0.000000",6,,-1,-1,,"22500.000000","0.000000","22500.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,3,-1,-1,1,"AGST@18","MHSG@9",-110,"9.000000",,"22500.000000","0.000000","22500.000000","250000.000000","0.000000","250000.000000","17",0,"Y","0.000000","0.000000","0.000000",7,,-1,-1,,"22500.000000","0.000000","22500.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,4,-1,-1,1,"AGST@18","MHCG@9",-100,"9.000000",,"2250.000000","0.000000","2250.000000","25000.000000","0.000000","25000.000000","17",0,"Y","0.000000","0.000000","0.000000",8,,-1,-1,,"2250.000000","0.000000","2250.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,4,-1,-1,1,"AGST@18","MHSG@9",-110,"9.000000",,"2250.000000","0.000000","2250.000000","25000.000000","0.000000","25000.000000","17",0,"Y","0.000000","0.000000","0.000000",9,,-1,-1,,"2250.000000","0.000000","2250.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,5,-1,-1,1,"AGST@18","MHCG@9",-100,"9.000000",,"18000.000000","0.000000","18000.000000","200000.000000","0.000000","200000.000000","17",0,"Y","0.000000","0.000000","0.000000",10,,-1,-1,,"18000.000000","0.000000","18000.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,5,-1,-1,1,"AGST@18","MHSG@9",-110,"9.000000",,"18000.000000","0.000000","18000.000000","200000.000000","0.000000","200000.000000","17",0,"Y","0.000000","0.000000","0.000000",11,,-1,-1,,"18000.000000","0.000000","18000.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,6,-1,-1,1,"AGST@18","MHCG@9",-100,"9.000000",,"4500.000000","0.000000","4500.000000","50000.000000","0.000000","50000.000000","17",0,"Y","0.000000","0.000000","0.000000",12,,-1,-1,,"4500.000000","0.000000","4500.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
4,6,-1,-1,1,"AGST@18","MHSG@9",-110,"9.000000",,"4500.000000","0.000000","4500.000000","50000.000000","0.000000","50000.000000","17",0,"Y","0.000000","0.000000","0.000000",13,,-1,-1,,"4500.000000","0.000000","4500.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
5,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"247500.000000","0.000000","247500.000000","1375000.000000","0.000000","1375000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"247500.000000","0.000000","247500.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
