"DocEntry","InstlmntID","ObjType","LogInstanc","DueDate","Status","DunnLevel","InsTotal","InsTotalFC","InsTotalSy","PaidToDate","PaidFC","PaidSys","VatSum","VatSumFC","VatSumSy","VatPaid","VatPaidFC","VatPaidSys","TotalExpns","TotalExpFC","TotalExpSC","ExpAppl","ExpApplFC","ExpApplSC","WTSum","WTSumFC","WTSumSC","WTApplied","WTAppliedF","WTAppliedS","TotalBlck","TotalBlckF","TotalBlckS","VATBlck","VATBlckFC","VATBlckSC","ExpnsBlck","ExpnsBlckF","ExpnsBlckS","WTBlocked","WTBlockedF","WTBlockedS","InstPrcnt","DunWizBlck","DunDate","Paid","PaidFrgn","PaidSc","reserved","TaxOnExp","TaxOnExpFc","TaxOnExpSc","TaxOnExpAp","TaxOnExApF","TaxOnExApS","TaxOnExBlo","TaxOnExBlF","TaxOnExBlS","LvlUpdDate","Ordered","PaidDpm","PaidDpmFc","PaidDpmSc"
1,1,"18",0,"2019-10-30 00:00:00.000000000","O",0,"56032.060000","56032.060000","56032.060000","0.000000","0.000000","0.000000","8547.260000","8547.260000","8547.260000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
3,1,"17",0,"2019-03-31 00:00:00.000000000","O",0,"1239000.000000","0.000000","1239000.000000","0.000000","0.000000","0.000000","189000.000000","0.000000","189000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
4,1,"17",0,"2019-03-31 00:00:00.000000000","O",0,"801113.800000","0.000000","801113.800000","0.000000","0.000000","0.000000","122203.800000","0.000000","122203.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
5,1,"17",0,"2019-03-31 00:00:00.000000000","O",0,"3245000.000000","0.000000","3245000.000000","0.000000","0.000000","0.000000","495000.000000","0.000000","495000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
6,1,"17",0,"2019-03-31 00:00:00.000000000","O",0,"2301000.000000","0.000000","2301000.000000","0.000000","0.000000","0.000000","351000.000000","0.000000","351000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
87,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"182900.000000","0.000000","182900.000000","0.000000","0.000000","0.000000","27900.000000","0.000000","27900.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
11,1,"17",0,"2019-03-31 00:00:00.000000000","O",0,"1031675.180000","0.000000","1031675.180000","0.000000","0.000000","0.000000","157374.180000","0.000000","157374.180000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
12,1,"17",0,"2019-03-31 00:00:00.000000000","O",0,"200588.000000","0.000000","200588.000000","0.000000","0.000000","0.000000","30598.200000","0.000000","30598.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
13,1,"22",0,"2018-08-07 00:00:00.000000000","O",0,"76500.000000","0.000000","76500.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
86,1,"17",0,"2021-09-30 00:00:00.000000000","O",0,"1298000.000000","0.000000","1298000.000000","0.000000","0.000000","0.000000","198000.000000","0.000000","198000.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","100.000000","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","0.000000","0.000000","0.000000"
