"ID","NAME","DISPLAYKEY","TYPE","FROMOBJ","TOOBJ"
108,"ES_REL_AP_CREDIT_MEMO2ITEM","es.rel.ap.credit.memo2item","BIDIRECTION","All/AP/@ES_AP_CREDIT_MEMO","All/Master Data/@ES_ITEM"
109,"ES_REL_AP_CREDIT_MEMO2FIXEDASSETS","es.rel.ap.credit.memo2fixedassets","BIDIRECTION","All/AP/@ES_AP_CREDIT_MEMO","All/Master Data/@ES_FIXEDASSETS"
110,"ES_REL_AP_CREDIT_MEMO2BP","es.rel.ap.credit.memo2bp","BIDIRECTION","All/AP/@ES_AP_CREDIT_MEMO","All/Master Data/@ES_BP"
111,"ES_REL_AP_CREDIT_MEMO2CONTACT","es.rel.ap.credit.memo2contact","BIDIRECTION","All/AP/@ES_AP_CREDIT_MEMO","All/Master Data/@ES_CONTACT"
112,"ES_REL_AP_INVOICE2ITEM","es.rel.ap.invoice2item","BIDIRECTION","All/AP/@ES_AP_INVOICE","All/Master Data/@ES_ITEM"
113,"ES_REL_AP_INVOICE2FIXEDASSETS","es.rel.ap.invoice2fixedassets","BIDIRECTION","All/AP/@ES_AP_INVOICE","All/Master Data/@ES_FIXEDASSETS"
114,"ES_REL_AP_INVOICE2BP","es.rel.ap.invoice2bp","BIDIRECTION","All/AP/@ES_AP_INVOICE","All/Master Data/@ES_BP"
115,"ES_REL_AP_INVOICE2CONTACT","es.rel.ap.invoice2contact","BIDIRECTION","All/AP/@ES_AP_INVOICE","All/Master Data/@ES_CONTACT"
116,"ES_REL_APRESERVEINVOICE2ITEM","es.rel.apreserveinvoice2item","BIDIRECTION","All/AP/@ES_APRESERVEINVOICE","All/Master Data/@ES_ITEM"
117,"ES_REL_APRESERVEINVOICE2FIXEDASSETS","es.rel.apreserveinvoice2fixedassets","BIDIRECTION","All/AP/@ES_APRESERVEINVOICE","All/Master Data/@ES_FIXEDASSETS"
118,"ES_REL_APRESERVEINVOICE2BP","es.rel.apreserveinvoice2bp","BIDIRECTION","All/AP/@ES_APRESERVEINVOICE","All/Master Data/@ES_BP"
119,"ES_REL_APRESERVEINVOICE2CONTACT","es.rel.apreserveinvoice2contact","BIDIRECTION","All/AP/@ES_APRESERVEINVOICE","All/Master Data/@ES_CONTACT"
