"ID","RID","FROMCOLUMN","TOCOLUMN","OP"
108,108,"RPC1_ItemCode","OITM_ItemCode","EQ"
109,109,"RPC1_ItemCode","OITM_ItemCode","EQ"
110,110,"ORPC_CardCode","OCRD_CardCode","EQ"
111,111,"ORPC_CntctCode","OCPR_CntctCode","EQ"
112,112,"PCH1_ItemCode","OITM_ItemCode","EQ"
113,113,"PCH1_ItemCode","OITM_ItemCode","EQ"
114,114,"OPCH_CardCode","OCRD_CardCode","EQ"
115,115,"OPCH_CntctCode","OCPR_CntctCode","EQ"
116,116,"PCH1_ItemCode","OITM_ItemCode","EQ"
117,117,"PCH1_ItemCode","OITM_ItemCode","EQ"
118,118,"OPCH_CardCode","OCRD_CardCode","EQ"
119,119,"OCPR_CntctCode","OCPR_CntctCode","EQ"
120,120,"RIN1_ItemCode","OITM_ItemCode","EQ"
121,121,"RIN1_ItemCode","OITM_ItemCode","EQ"
122,122,"ORIN_CardCode","OCRD_CardCode","EQ"
123,123,"ORIN_CntctCode","OCPR_CntctCode","EQ"
124,124,"OITT_Code","OWOR_ItemCode","EQ"
125,125,"OCRD_CardCode","OOPR_CardCode","EQ"
126,126,"OCRD_CardCode","OWOR_CardCode","EQ"
127,127,"OCRD_CardCode","OSCL_customer","EQ"
128,128,"OCRD_CardCode","OCLG_CardCode","EQ"
129,129,"OCRD_CardCode","OCPR_CardCode","EQ"
130,130,"OCPR_CntctCode","OCPR_CntctCode","EQ"
131,131,"OCPR_CntctCode","OSCL_contctCode","EQ"
132,132,"OCPR_CntctCode","OCLG_CntctCode","EQ"
133,133,"OHEM_manager","OHEM_manager","EQ"
134,134,"OHEM_manager","OHEM_empID","EQ"
135,135,"OHEM_empID","OHEM_manager","EQ"
136,136,"OHEM_branch","OHEM_branch","EQ"
137,137,"OHEM_dept","OHEM_dept","EQ"
138,138,"HTM1_teamID","HTM1_teamID","EQ"
139,139,"OITM_ItemCode","OSCL_itemCode","EQ"
140,140,"OITM_ItemCode","WOR1_ItemCode","EQ"
141,141,"OITM_ItemCode","ITT1_Code","EQ"
142,142,"OITM_ItemCode","OSLT_ItemCode","EQ"
143,143,"PDN1_ItemCode","OITM_ItemCode","EQ"
144,144,"PDN1_ItemCode","OITM_ItemCode","EQ"
145,145,"OPDN_CardCode","OCRD_CardCode","EQ"
146,146,"OPDN_CntctCode","OCPR_CntctCode","EQ"
147,147,"RPD1_ItemCode","OITM_ItemCode","EQ"
148,148,"RPD1_ItemCode","OITM_ItemCode","EQ"
149,149,"ORPD_CardCode","OCRD_CardCode","EQ"
150,150,"ORPD_CntctCode","OCPR_CntctCode","EQ"
151,151,"ORCT_CardCode","OCRD_CardCode","EQ"
152,152,"ORCT_CntctCode","OCPR_CntctCode","EQ"
153,153,"IGE1_ItemCode","OITM_ItemCode","EQ"
154,154,"IGE1_ItemCode","OITM_ItemCode","EQ"
155,155,"IGN1_ItemCode","OITM_ItemCode","EQ"
156,156,"IGN1_ItemCode","OITM_ItemCode","EQ"
157,157,"WTR1_ItemCode","OITM_ItemCode","EQ"
158,158,"WTR1_ItemCode","OITM_ItemCode","EQ"
159,159,"OWTR_CardCode","OCRD_CardCode","EQ"
160,160,"OWTR_CntctCode","OCPR_CntctCode","EQ"
161,161,"IGE1_BaseEntry","OWOR_DocEntry","EQ"
162,162,"OITM_ItemCode","OSCL_itemCode","EQ"
