"ID","BO_ID","NAME","ALIAS","HEADER","ISLINE","UDT"
1,1,"ORPC",,"Y","N","N"
2,1,"OCRD",,"N","N","N"
3,1,"OCPR",,"N","N","N"
4,1,"OSLP",,"N","N","N"
5,1,"OHEM",,"N","N","N"
6,1,"OSHP",,"N","N","N"
7,1,"RPC1",,"N","Y","N"
8,2,"OPCH",,"Y","N","N"
9,2,"OCRD",,"N","N","N"
10,2,"OCPR",,"N","N","N"
11,2,"OSLP",,"N","N","N"
12,2,"OHEM",,"N","N","N"
13,2,"OSHP",,"N","N","N"
14,2,"PCH1",,"N","Y","N"
15,3,"OPCH",,"Y","N","N"
16,3,"PCH1",,"N","Y","N"
17,3,"OSLP",,"N","N","N"
18,3,"OCPR",,"N","N","N"
19,3,"OHEM",,"N","N","N"
20,4,"ORIN",,"Y","N","N"
21,4,"OCRD",,"N","N","N"
22,4,"OCPR",,"N","N","N"
23,4,"OSLP",,"N","N","N"
24,4,"OHEM",,"N","N","N"
25,4,"OSHP",,"N","N","N"
26,4,"RIN1",,"N","Y","N"
27,5,"OCLG",,"Y","N","N"
28,5,"OCLT",,"N","N","N"
29,5,"OCLS",,"N","N","N"
30,5,"OHEM",,"N","N","N"
31,5,"OUSR","OUSR.temp0","N","N","N"
32,5,"OUSR","OUSR.temp1","N","N","N"
33,5,"OCRD",,"N","N","N"
34,5,"OCPR",,"N","N","N"
35,6,"OITT",,"Y","N","N"
36,6,"ITT1",,"N","Y","N"
37,6,"OITM",,"N","N","N"
38,6,"OPLN","OPLN.temp0","N","N","N"
39,6,"OPLN","OPLN.temp1","N","N","N"
40,6,"ITM1",,"N","N","N"
41,7,"OBIN",,"Y","N","N"
42,8,"OCRD",,"Y","N","N"
43,8,"OCPR",,"N","Y","N"
44,8,"OCRG",,"N","N","N"
45,8,"CRD1",,"N","Y","N"
46,9,"OACT",,"Y","N","N"
47,9,"ES_OACT",,"N","N","N"
48,10,"OCPR",,"Y","N","N"
49,10,"OCRD",,"N","N","N"
50,11,"ODAB",,"Y","N","N"
51,11,"OWPK",,"N","N","N"
52,12,"OHEM",,"Y","N","N"
53,12,"OUDP",,"N","N","N"
54,12,"OUBR",,"N","N","N"
55,12,"OUSR",,"N","N","N"
56,12,"OSLP",,"N","N","N"
