"ACCOUNT_CODE","BUDGET_SCENARIO_ID","BUDGET_DAY","BUDGET_AMOUNT_LC","BUDGET_AMOUNT_SC","FUTURE_AMOUNT_LC","FUTURE_AMOUNT_SC","ACTUAL_AMOUNT_LC","ACTUAL_AMOUNT_SC","DIMENSION","COST_CENTER","SORT_CODE"
"_SYS00000000089",2,"2020-02-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2020-02-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2020-02-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2020-02-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2020-02-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2019-04-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2019-04-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2019-04-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2019-04-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2019-04-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2019-09-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2019-09-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2019-09-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2019-09-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2019-09-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2019-05-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2019-05-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2019-05-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2019-05-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2019-05-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2020-01-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2020-01-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2020-01-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2020-01-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2020-01-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2019-06-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2019-06-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2019-06-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2019-06-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2019-06-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2019-07-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2019-07-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2019-07-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2019-07-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2019-07-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2019-08-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2019-08-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2019-08-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2019-08-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2019-08-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2019-12-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2019-12-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2019-12-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2019-12-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2019-12-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2020-03-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2020-03-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2020-03-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2020-03-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2020-03-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
"_SYS00000000089",2,"2019-10-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,"-","-"
"_SYS00000000089",2,"2019-10-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",2,"-","-"
"_SYS00000000089",2,"2019-10-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3,"-","-"
"_SYS00000000089",2,"2019-10-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",4,"-","-"
"_SYS00000000089",2,"2019-10-01 00:00:00.000000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5,"-","-"
