"PROJECTCODE","PROJECTNAME","PROJECTFULLNAME"
"-","-No Project-","-No Project-(-)"
"CR|PJ002","DEV_INT_CEPOD-UI5","DEV_INT_CEPOD-UI5(CR|PJ002)"
"CR|PJ005","DEV_ADANI-POWER_ELOGBOOK","DEV_ADANI-POWER_ELOGBOOK(CR|PJ005)"
"CR|PJ081","IMP_CRAVE_SAP B1 IMPLEMENTATION","IMP_CRAVE_SAP B1 IMPLEMENTATION(CR|PJ081)"
"CR|PJ012","AMC_ADANI-GE_SOLAR DASHBOARD APP","AMC_ADANI-GE_SOLAR DASHBOARD APP(CR|PJ012)"
"CR|PJ015","AMC_AWC_TRACKER","AMC_AWC_TRACKER(CR|PJ015)"
"CR|PJ007","DEV_ADANI-POWER_CRITICAL PARAMETER","DEV_ADANI-POWER_CRITICAL PARAMETER(CR|PJ007)"
"CR|PJ008","DEV_ADANI-POWER_GENERATION DASHBOARD","DEV_ADANI-POWER_GENERATION DASHBOARD(CR|PJ008)"
"CR|PJ093","DEV_CINTAS_DYNAMIC CONNECT","DEV_CINTAS_DYNAMIC CONNECT(CR|PJ093)"
"CR|PJ086","HR_ACTIVITIES_CRAVEINFOTECH","HR_ACTIVITIES_CRAVEINFOTECH(CR|PJ086)"
"CR|PJ087","CRAVE_TEAM_EVENT(ADMIN)","CRAVE_TEAM_EVENT(ADMIN)(CR|PJ087)"
"CR|PJ088","DEV_INT_TIMESHEET","DEV_INT_TIMESHEET(CR|PJ088)"
"CR|PJ001","DEV_ADANI-GE_PROJECT TEAM APP","DEV_ADANI-GE_PROJECT TEAM APP(CR|PJ001)"
"CR|PJ004","DEV_ADANI-WILMAR_TRUCK LATENCY MOBILE APP","DEV_ADANI-WILMAR_TRUCK LATENCY MOBILE APP(CR|PJ004)"
"CR|PJ010","AMC_ADANI-GE_PROJECT TEAM APP","AMC_ADANI-GE_PROJECT TEAM APP(CR|PJ010)"
"CR|PJ055","IMP_ENCORE_ANALYTICS","IMP_ENCORE_ANALYTICS(CR|PJ055)"
