"DOCTYPE","DOCENTRY","LINENUM","CARDCODE","SALESEMPLOYEE","COUNTRYCODE","POSTINGDATE","DUEDATE","DOCUMENTDATE","ITEMCODE","WAREHOUSECODE","QUANTITY","SALESAMOUNT","SALESAMOUNTSC","BASEAMOUNT","GROSSPROFIT","GROSSPROFITSC","PERIOD","PROJECT"
13,358,0,"C00006",9,"IN","2019-07-01 00:00:00.000000000","2019-09-29 00:00:00.000000000","2019-08-15 00:00:00.000000000",,,"0.000000","39000.000000","39000.000000","39000.000000","0.000000","0.000000","FY201920-04","CR|PJ048"
13,358,1,"C00006",9,"IN","2019-07-01 00:00:00.000000000","2019-09-29 00:00:00.000000000","2019-08-15 00:00:00.000000000",,,"0.000000","46800.000000","46800.000000","46800.000000","0.000000","0.000000","FY201920-04","CR|PJ052"
13,358,2,"C00006",9,"IN","2019-07-01 00:00:00.000000000","2019-09-29 00:00:00.000000000","2019-08-15 00:00:00.000000000",,,"0.000000","39000.000000","39000.000000","39000.000000","0.000000","0.000000","FY201920-04","CR|PJ051"
13,372,0,"C00006",9,"IN","2019-07-22 00:00:00.000000000","2019-09-11 00:00:00.000000000","2019-09-05 00:00:00.000000000",,,"0.000000","74793.000000","74793.000000","74793.000000","0.000000","0.000000","FY201920-04","CR|PJ052"
13,372,1,"C00006",9,"IN","2019-07-22 00:00:00.000000000","2019-09-11 00:00:00.000000000","2019-09-05 00:00:00.000000000",,,"0.000000","104800.000000","104800.000000","104800.000000","0.000000","0.000000","FY201920-04","CR|PJ052"
13,381,0,"C00028",6,"IN","2019-08-01 00:00:00.000000000","2019-08-26 00:00:00.000000000","2019-08-30 00:00:00.000000000",,,"0.000000","75600.000000","75600.000000","75600.000000","0.000000","0.000000","FY201920-05","CR|PJ139"
13,381,1,"C00028",6,"IN","2019-08-01 00:00:00.000000000","2019-08-26 00:00:00.000000000","2019-08-30 00:00:00.000000000",,,"0.000000","113000.000000","113000.000000","113000.000000","0.000000","0.000000","FY201920-05","CR|PJ139"
13,381,2,"C00028",6,"IN","2019-08-01 00:00:00.000000000","2019-08-26 00:00:00.000000000","2019-08-30 00:00:00.000000000",,,"0.000000","16065.000000","16065.000000","16065.000000","0.000000","0.000000","FY201920-05","CR|PJ139"
13,383,0,"C00024",6,"IN","2019-08-01 00:00:00.000000000","2019-10-10 00:00:00.000000000","2019-08-31 00:00:00.000000000",,,"0.000000","75000.000000","75000.000000","75000.000000","0.000000","0.000000","FY201920-05","CR|PJ123"
13,389,0,"C00015",9,"IN","2019-08-05 00:00:00.000000000","2019-10-15 00:00:00.000000000","2019-08-05 00:00:00.000000000",,,"0.000000","21900.000000","21900.000000","21900.000000","0.000000","0.000000","FY201920-05","CR|PJ066"
13,397,0,"C00029",9,"IN","2019-08-03 00:00:00.000000000","2019-09-10 00:00:00.000000000","2019-09-02 00:00:00.000000000",,,"0.000000","1375000.000000","1375000.000000","1375000.000000","0.000000","0.000000","FY201920-05","CR|PJ150"
13,825,0,"C00023",-1,"IN","2020-11-25 00:00:00.000000000","2020-12-10 00:00:00.000000000","2020-12-10 00:00:00.000000000","SER0014","CI01","1.000000","198396.800000","198396.800000","0.000000","198396.800000","198396.800000","FY202021-08","CR|PJ131"
13,842,0,"C00019",12,"IN","2020-12-10 00:00:00.000000000","2021-02-15 00:00:00.000000000","2021-01-09 00:00:00.000000000","SER0030","CI01","1.000000","108000.000000","108000.000000","0.000000","108000.000000","108000.000000","FY202021-09","CR|PJ068"
13,544,0,"C00023",9,"IN","2020-01-01 00:00:00.000000000","2020-02-10 00:00:00.000000000","2020-01-30 00:00:00.000000000","SER0014","CI01","1.000000","198396.800000","198396.800000","0.000000","198396.800000","198396.800000","FY201920-10","CR|PJ131"
13,557,0,"C00028",9,"IN","2020-01-20 00:00:00.000000000","2020-02-19 00:00:00.000000000","2020-02-19 00:00:00.000000000","SER0030","CI01","1.000000","19500.000000","19500.000000","0.000000","19500.000000","19500.000000","FY201920-10","CR|PJ139"
13,557,1,"C00028",9,"IN","2020-01-20 00:00:00.000000000","2020-02-19 00:00:00.000000000","2020-02-19 00:00:00.000000000","SER0030","CI01","1.000000","19500.000000","19500.000000","0.000000","19500.000000","19500.000000","FY201920-10","CR|PJ139"
13,501,2,"C00028",6,"IN","2019-11-04 00:00:00.000000000","2019-12-04 00:00:00.000000000","2019-12-04 00:00:00.000000000",,,"0.000000","16065.000000","16065.000000","16065.000000","0.000000","0.000000","FY201920-08","CR|PJ139"
13,501,1,"C00028",6,"IN","2019-11-04 00:00:00.000000000","2019-12-04 00:00:00.000000000","2019-12-04 00:00:00.000000000",,,"0.000000","113000.000000","113000.000000","113000.000000","0.000000","0.000000","FY201920-08","CR|PJ139"
13,501,0,"C00028",6,"IN","2019-11-04 00:00:00.000000000","2019-12-04 00:00:00.000000000","2019-12-04 00:00:00.000000000",,,"0.000000","75600.000000","75600.000000","75600.000000","0.000000","0.000000","FY201920-08","CR|PJ139"
