"Code","LineNum","AttrID","AttrName","FieldType","DefaultVal","LogInstanc","SnapshotId"
-1,1,1,"Remark 1","A",,0,0
-1,2,2,"Remark 2","A",,0,0
-1,3,48,"Amount 1","S",,0,0
-1,4,49,"Amount 2","S",,0,0
1,1,1,"Remark 1","A","",0,0
1,2,2,"Remark 2","A","",0,0
2,1,1,"Remark 1","A","",0,0
2,2,2,"Remark 2","A","",0,0
3,1,1,"Remark 1","A","",0,0
3,2,2,"Remark 2","A","",0,0
4,1,1,"Remark 1","A","",0,0
4,2,2,"Remark 2","A","",0,0
5,1,1,"Remark 1","A","",0,0
5,2,2,"Remark 2","A","",0,0
6,1,1,"Remark 1","A","",0,0
6,2,2,"Remark 2","A","",0,0
7,1,1,"Remark 1","A","",0,0
7,2,2,"Remark 2","A","",0,0
8,1,1,"Remark 1","A","",0,0
8,2,2,"Remark 2","A","",0,0
9,1,1,"Remark 1","A","",0,0
9,2,2,"Remark 2","A","",0,0
10,1,1,"Remark 1","A","",0,0
10,2,2,"Remark 2","A","",0,0
11,1,1,"Remark 1","A","",0,0
11,2,2,"Remark 2","A","",0,0
12,1,1,"Remark 1","A","",0,0
12,2,2,"Remark 2","A","",0,0
