"FormNo","Code","UserSign","ExNumData1","ExNumData2","ExNumData3","ExStrData1","ExStrData2","ExStrData3","FilterName"
"40005","128",128,0,0,,"Y","Y",,"_"
"40005","135",135,0,0,,"Y","Y",,"_"
"40005","106",106,0,0,,"Y","Y",,"_"
"40005","2",2,0,0,,"Y","Y",,"_"
"40005","6",6,0,0,,"Y","Y",,"_"
"40005","7",7,0,0,,"Y","Y",,"_"
"40005","140",140,0,0,,"Y","Y",,"_"
"40005","195",195,0,0,,"Y","Y",,"_"
"40005","154",154,0,0,,"Y","Y",,"_"
"40005","1",1,0,0,,"Y","Y",,"_"
"40005","116",116,0,0,,"Y","Y",,"_"
"40005","88",88,0,0,,"Y","Y",,"_"
"40005","383",383,0,0,,"Y","Y",,"_"
"857","BPL-3",383,3,,,,,,"_"
"40005","389",389,0,0,,"Y","Y",,"_"
"40005","385",385,0,0,,"Y","Y",,"_"
"40005","386",386,0,0,,"Y","Y",,"_"
"604","OrigJrnl-30",116,30,,,,,,"_"
"40005","388",388,0,0,,"Y","Y",,"_"
"40005","384",384,0,0,,"Y","Y",,"_"
"40005","156",156,0,0,,"Y","Y",,"_"
"165","BPL-3",8,3,,,,,,"_"
"166","BPL-3",8,3,,,,,,"_"
"40005","8",8,0,0,,"Y","Y",,"_"
"420","BPL-3",8,3,,,,,,"_"
"604","604+0",8,3,1,8,"Sanjay Kurundkar","","O30+A1+C7+B0","_"
"604","604+1",8,3,2,-1,"","","O30+A1+C8+B0","_"
"604","604+10",8,3,11,-1,"","","O30+A12+C18+BN","_"
"604","604+11",8,3,12,-1,"","","O30+A12+C18+B0","_"
"604","604+2",8,3,3,-1,"","","O30+A1+C81+B0","_"
"604","604+3",8,3,4,-1,"","","O30+A12+C22+BY","_"
"604","604+4",8,3,5,-1,"","","O30+A12+C22+BN","_"
"604","604+5",8,3,6,-1,"","","O30+A12+C22+B0","_"
"604","604+6",8,3,7,-1,"","","O30+A12+C23+BY","_"
"604","604+7",8,3,8,-1,"","","O30+A12+C23+BN","_"
"604","604+8",8,3,9,-1,"","","O30+A12+C23+B0","_"
"604","604+9",8,3,10,-1,"","","O30+A12+C18+BY","_"
"604","BPL-3",8,3,,,,,,"_"
"757","604+0",8,1,1,8,"520017","","O1+A1+C71+B0","_"
"757","166+3",8,1,1,-1,"","","O1+A1+C71+B0","_"
"757","892+4",8,1,1,-1,"","","O1+A1+C71+B0","_"
"757","604+1",8,1,2,-1,"","","O1+A1+C1+B0","_"
"757","166+5",8,1,2,8,"Travelling Expenses","","O1+A1+C1+B0","_"
"757","892+6",8,1,2,8,"Salary Payable","","O1+A1+C1+B0","_"
